Date,AAPL.Close,AAPL.Volume
2015-02-22,128.625,194354900
2015-03-01,130.56799919999997,368216200
2015-03-08,127.99999840000001,246938500
2015-03-15,124.38599839999999,326514100
2015-03-22,126.77200020000001,266672900
2015-03-29,124.9539992,209326300
2015-04-05,125.09250075,162031800
2015-04-12,126.5239988,182207500
2015-04-19,126.16999960000001,171186100
2015-04-26,128.6159988,207440700
2015-05-03,129.189998,420972300
2015-05-10,126.4780014,271892000
2015-05-17,127.18400119999998,208301500
2015-05-24,130.8499998,217297400
2015-05-31,130.92999650000002,198148600
2015-06-07,129.725998,170746700
2015-06-14,127.97200000000001,220114600
2015-06-21,127.25999879999999,198525200
2015-06-28,127.4000002,195594000
2015-07-05,125.74999975,150981900
2015-07-12,123.52200020000001,274944900
2015-07-19,127.24399899999999,189244900
2015-07-26,127.5400024,344269000
2015-08-02,122.5619996,191598600
2015-08-09,115.8259994,385000600
2015-08-16,115.91199959999999,344717200
2015-08-23,113.416002,319668200
2015-08-30,108.5520004,500363000
2015-09-06,110.4919998,298194200
2015-09-13,112.30999975,252662700
2015-09-20,115.0739992,277276000
2015-09-27,114.52799999999999,242696300
2015-10-04,110.3520004,313896300
2015-10-11,110.89799980000001,261772800
2015-10-18,111.3,184885000
2015-10-25,114.76800080000001,221354200
2015-11-01,117.8259996,322362200
2015-11-08,121.54599920000001,195203400
2015-11-15,116.301999,216555300
2015-11-22,116.648001,189981200
2015-11-29,118.1174985,109720400
2015-12-06,117.2299988,206765800
2015-12-13,116.2960006,188745500
2015-12-20,109.86399980000002,315106400
2015-12-27,107.80000125,126607800
2016-01-03,107.035,123484500
2016-01-10,100.433998,343790200
2016-01-17,98.5059982,303513300
2016-01-24,97.7925015,243384100
2016-01-31,96.855998,380336500
2016-02-07,95.5759992,217154800
2016-02-14,94.3919984,231122300
2016-02-21,96.76500125,168316300
2016-02-28,96.26800060000001,159052900
2016-03-06,100.4960006,201803800
2016-03-13,101.490001,155514300
2016-03-20,104.95800019999999,182073200
2016-03-27,106.1075,119783600
2016-04-03,108.2819992,147965000
2016-04-10,109.81800100000001,145722600
2016-04-17,110.68999920000002,162310000
2016-04-24,106.63400099999998,189065500
2016-05-01,99.164,349424100
2016-05-08,93.79400000000001,225365600
2016-05-15,91.9159988,216049800
2016-05-22,94.2699982,212707200
2016-05-29,98.94200140000001,203888300
2016-06-05,98.48999975,139735000
2016-06-12,99.01600040000001,124864400
2016-06-19,96.9639998,191732600
2016-06-26,95.212001,206729000
2016-07-03,94.30399919999999,184328400
2016-07-10,95.78499975,112706000
2016-07-17,97.76800080000001,142910600
2016-07-24,99.5500016,147565500
2016-07-31,101.1019972,256571000
2016-08-07,105.93400260000001,170149200
2016-08-14,108.2580002,124505800
2016-08-21,109.3040008,132371400
2016-08-28,107.98000019999999,123605500
2016-09-04,106.6760008,133000600
2016-09-11,106.177498,168803700
2016-09-18,111.1299988,388228200
2016-09-25,113.6060014,201095700
2016-10-02,113.0299986,156384000
2016-10-09,113.3039994,126029400
2016-10-16,116.86000039999999,208708400
2016-10-23,117.16000059999999,115531500
2016-10-30,115.9380004,210225600
2016-11-06,111.05799859999999,156346500
2016-11-13,109.71400000000001,207069300
2016-11-20,108.56399859999999,198341400
2016-11-27,111.6375025,94132400
2016-12-04,110.58799919999998,155500000
2016-12-11,111.23199939999999,151989600
2016-12-18,115.0940016,195015600
2016-12-25,116.69199840000002,113323000
2017-01-01,116.64250175,84828600
2017-01-08,116.672501,103845500
2017-01-15,119.228,138636400
2017-01-22,119.94249925,116348000
2017-01-29,121.16399980000001,124539300
2017-02-05,125.86799920000001,249781200
2017-02-12,131.6799956,136449200
2017-02-19,134.79249950000002,113470500
